ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2881,18,2009-08-09,16:00,Vitoria,Fluminense,,,,,-, Barradão,2,2,BA,RJ,8.982,Leonardo Gaciba,0,0,Domingo
2882,18,2009-08-09,18:30,Coritiba,Cruzeiro,,,,,Cruzeiro, Couto Pereira,1,3,PR,MG,11.485,Paulo César Oliveira,0,0,Domingo
2883,18,2009-08-09,18:30,Sao Paulo,Goias,,,,,Sao Paulo, Morumbi,3,1,SP,GO,28.200,Alicio Pena Júnior,0,1,Domingo
2884,18,2009-08-09,18:30,Barueri,Gremio,,,,,Barueri,Arena Barueri,1,0,SP,RS,4.576,Renato Cardoso da Conceição,0,0,Domingo
2885,18,2009-08-10,21:00,Internacional,Sport,,,,,Internacional, Beira Rio,3,0,RS,PE,16.650,Sálvio Spínola Fagundes Filho,0,0,Segunda-feira
2886,18,2009-08-12,21:50,Atletico-MG,Palmeiras,,,,,-, Mineirão,1,1,MG,SP,51.532,Djalma José Beltrami,0,0,Quarta-feira
2887,19,2009-08-15,18:30,Avai,Nautico,,,,,Avai,  Ressacada,2,1,SC,PE,9.223,Wilton Pereira Sampaio,0,1,Sábado
2888,19,2009-08-15,18:30,Santo Andre,Internacional,,,,,Internacional,Bruno José Daniel,0,2,SP,RS,2.725,Elmo Alves Resende Cunha,0,1,Sábado
2889,19,2009-08-15,18:30,Palmeiras,Botafogo-RJ,,,,,-,Palestra Itália,1,1,SP,RJ,24.231,Cláudio Mercante,0,0,Sábado
2890,19,2009-08-16,16:00,Fluminense,Coritiba,,,,,Coritiba, Maracanã,1,3,RJ,PR,17.042,Francisco Carlos Nascimento,0,0,Domingo
2891,19,2009-08-16,16:00,Gremio,Flamengo,,,,,Gremio, Olímpico,4,1,RS,RJ,21.752,Paulo César Oliveira,0,0,Domingo
2892,19,2009-08-16,16:00,Corinthians,Atletico-MG,,,,,Corinthians, Pacaembu,2,0,SP,MG,19.773,Leandro Vuaden,0,1,Domingo
2893,19,2009-08-16,16:00,Sport,Sao Paulo,,,,,Sao Paulo,Ilha do Retiro,1,2,PE,SP,24.329,Sandro Meira Ricci,1,1,Domingo
2894,19,2009-08-16,16:00,Goias,Vitoria,,,,,Goias, Serra Dourada,3,2,GO,BA,7.202,Luiz Flávio de Oliveira,1,1,Domingo
2895,19,2009-08-16,18:30,Athletico-PR,Barueri,,,,,Athletico-PR, Arena da Baixada,3,0,PR,SP,14.992,Carlos Eugenio Simon,0,1,Domingo
2896,19,2009-08-16,18:30,Cruzeiro,Santos,,,,,-, Mineirão,0,0,MG,SP,16.939,Marcelo de Lima Henrique,0,0,Domingo
2897,20,2009-08-19,19:30,Santos,Gremio,,,,,Santos, Vila Belmiro,1,0,SP,RS,6.499,André Luiz de Freitas Castro,0,1,Quarta-feira
2898,20,2009-08-19,19:30,Vitoria,Athletico-PR,,,,,Vitoria, Barradão,2,1,BA,PR,5.376,Wilson Souza de Mendonça,0,1,Quarta-feira
2899,20,2009-08-19,19:30,Botafogo-RJ,Santo Andre,,,,,Santo Andre,Engenhão,1,2,RJ,SP,6.524,Renato Cardoso da Conceição,0,1,Quarta-feira
2900,20,2009-08-19,21:00,Barueri,Sport,,,,,Barueri,Arena Barueri,2,1,SP,PE,2.243,Antonio Hora Filho,1,0,Quarta-feira
2901,20,2009-08-19,21:50,Sao Paulo,Fluminense,,,,,Sao Paulo, Morumbi,1,0,SP,RJ,22.115,Arilson Bispo da Anunciação,0,0,Quarta-feira
2902,20,2009-08-19,21:50,Coritiba,Palmeiras,,,,,Coritiba, Couto Pereira,1,0,PR,SP,16.381,Péricles Bassols Cortez,2,2,Quarta-feira
2903,20,2009-08-19,21:50,Internacional,Corinthians,,,,,Corinthians, Beira Rio,1,2,RS,SP,26.326,Wagner Tardelli,0,0,Quarta-feira
2904,20,2009-08-20,21:00,Flamengo,Cruzeiro,,,,,Cruzeiro, Maracanã,1,2,RJ,MG,12.273,Rodrigo Martins Cintra,0,0,Quinta-feira
2905,20,2009-08-20,21:00,Nautico,Goias,,,,,Nautico,Aflitos,2,0,PE,GO,3.246,Evandro Roman,0,2,Quinta-feira
2906,20,2009-08-20,21:00,Atletico-MG,Avai,,,,,-, Mineirão,2,2,MG,SC,18.567,Heber Roberto Lopes,0,0,Quinta-feira
2907,21,2009-08-22,18:30,Palmeiras,Internacional,,,,,Palmeiras,Palestra Itália,2,1,SP,RS,22.101,Wilton Pereira Sampaio,0,0,Sábado
