ID,rodada,data,hora,mandante,visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2735,3,2009-05-24,18:30,Avai,Coritiba,Empate,  Ressacada,2,2,SC,PR,8880,Marcelo de Lima Henrique,0,0,Domingo
2736,3,2009-05-24,18:30,Santo Andre,Flamengo,Flamengo,Bruno José Daniel,1,2,SP,RJ,8819,Arilson Bispo da Anunciação,0,0,Domingo
2737,4,2009-05-30,18:30,Botafogo-RJ,Sport,Empate,Engenhão,2,2,RJ,PE,8655,Jailson Macedo Freitas,0,1,Sábado
2738,4,2009-05-30,18:30,Coritiba,Goias,Goias, Couto Pereira,1,3,PR,GO,8642,Pablo dos Santos Alves,0,1,Sábado
2739,4,2009-05-30,18:30,Atletico-MG,Santo Andre,Empate, Mineirão,0,0,MG,SP,23772,Cláudio Mercante Júnior,0,1,Sábado
2740,4,2009-05-31,16:00,Sao Paulo,Cruzeiro,Sao Paulo, Morumbi,3,0,SP,MG,51800,Evandro Rogério Roman,0,0,Domingo
2741,4,2009-05-31,16:00,Santos,Corinthians,Santos, Vila Belmiro,3,1,SP,SP,10658,Leandro Vuaden,0,1,Domingo
2742,4,2009-05-31,16:00,Flamengo,Athletico-PR,Flamengo, Maracanã,2,1,RJ,PR,68217,Leonardo Gaciba,0,0,Domingo
2743,4,2009-05-31,16:00,Nautico,Fluminense,Empate,Aflitos,1,1,PE,RJ,7781,Wilson Luiz Seneme,1,1,Domingo
2744,4,2009-05-31,16:00,Vitoria,Gremio,Vitoria, Barradão,1,0,BA,RS,14528,Wagner Tardelli,0,1,Domingo
2745,4,2009-05-31,18:30,Barueri,Palmeiras,Empate,Arena Barueri,2,2,SP,SP,4960,Paulo César Oliveira,0,1,Domingo
2746,4,2009-05-31,18:30,Internacional,Avai,Internacional, Beira Rio,2,1,RS,SC,13023,Nielson Nogueira Dias,1,1,Domingo
2760,6,2009-05-31,16:00,Goias,Corinthians,Empate, Serra Dourada,0,0,GO,SP,16337,Wagner Tardelli,0,0,Quinta-feira
2761,6,2009-05-31,16:00,Fluminense,Gremio,Empate, Maracanã,0,0,RJ,RS,16270,José Henrique de Carvalho,0,1,Quinta-feira
2762,6,2009-05-31,16:00,Coritiba,Flamengo,Coritiba, Couto Pereira,5,0,PR,RJ,20592,Wilson Luiz Seneme,1,1,Sábado
2763,6,2009-05-31,16:00,Atletico-MG,Nautico,Atletico-MG, Mineirão,3,0,MG,PE,40822,Francisco Carlos Nascimento,1,2,Domingo
2764,6,2009-05-31,18:30,Barueri,Avai,Barueri,Arena Barueri,3,1,SP,SC,1288,William Souza Nery,0,1,Domingo
2765,6,2009-05-31,18:30,Palmeiras,Cruzeiro,Palmeiras,Palestra Itália,3,1,SP,MG,11214,Leandro Pedro Vuaden,0,0,Domingo
2766,6,2009-05-31,18:30,Internacional,Vitoria,Empate, Beira Rio,0,0,RS,BA,15409,Célio Amorim,0,1,Domingo
2747,5,2009-06-04,21:00,Gremio,Nautico,Gremio, Olímpico,3,0,RS,PE,8215,Péricles Pegado Cortez,1,0,Domingo
2748,5,2009-06-04,21:00,Santo Andre,Santos,Empate,Bruno José Daniel,3,3,SP,SP,7818,Luiz Flávio de Oliveira,1,0,Domingo
2749,5,2009-06-06,21:00,Corinthians,Coritiba,Corinthians, Pacaembu,2,0,SP,PR,5735,Djalma José Beltrami,0,1,Domingo
2750,5,2009-06-07,16:00,Palmeiras,Vitoria,Palmeiras,Palestra Itália,2,1,SP,BA,16118,Heber Roberto Lopes,0,0,Sábado
2751,5,2009-06-07,16:00,Athletico-PR,Atletico-MG,Atletico-MG, Arena da Baixada,0,4,PR,MG,15505,Rodrigo Martins Cintra,1,0,Sábado
2752,5,2009-06-07,16:00,Sport,Flamengo,Sport,Ilha do Retiro,4,2,PE,RJ,25602,Cléber Wellington Abade,0,0,Sábado
2753,5,2009-06-07,16:00,Avai,Sao Paulo,Empate,  Ressacada,0,0,SC,SP,12553,Leonardo Gaciba,0,0,Domingo
2754,5,2009-06-07,18:30,Cruzeiro,Internacional,Empate, Mineirão,1,1,MG,RS,16587,Antonio Hora Filho,1,1,Domingo
2755,5,2009-06-07,18:30,Goias,Barueri,Empate, Serra Dourada,2,2,GO,SP,4242,Francisco Carlos Nascimento,0,0,Domingo
2756,5,2009-06-07,18:30,Fluminense,Botafogo-RJ,Fluminense, Maracanã,1,0,RJ,RJ,13728,Rodrigo Nunes de Sá,0,0,Domingo
2757,6,2009-06-13,18:30,Sao Paulo,Santo Andre,Empate, Morumbi,1,1,SP,SP,8995,Guilherme Cereta de Lima,0,0,Domingo
2758,6,2009-06-13,18:30,Sport,Athletico-PR,Athletico-PR,Ilha do Retiro,0,1,PE,PR,14118,Ricardo Marques Ribeiro,0,0,Domingo
2759,6,2009-06-13,18:30,Botafogo-RJ,Santos,Botafogo-RJ,Engenhão,2,0,RJ,SP,6535,Evandro Rogério Roman,0,0,Domingo
2767,7,2009-06-20,16:10,Athletico-PR,Palmeiras,Empate, Arena da Baixada,2,2,PR,SP,18068,Alicio Pena Júnior,0,0,Sábado
2768,7,2009-06-20,16:10,Vitoria,Botafogo-RJ,Vitoria, Barradão,4,3,BA,RJ,10897,Francisco Carlos Nascimento,0,0,Sábado
2769,7,2009-06-20,16:10,Santo Andre,Sport,Santo Andre,Bruno José Daniel,2,1,SP,PE,2378,Edivaldo Elias da Silva,0,1,Sábado
2770,7,2009-06-20,18:30,Gremio,Goias,Empate, Olímpico,2,2,RS,GO,14481,Nielson Nogueira Dias,0,0,Sábado
2771,7,2009-06-20,18:30,Avai,Fluminense,Avai,  Ressacada,3,2,SC,RJ,9142,Paulo César Oliveira,0,1,Sábado
2772,7,2009-06-20,18:30,Nautico,Coritiba,Coritiba,Aflitos,0,1,PE,PR,10000,Rodrigo Nunes de Sá,0,0,Sábado
2773,7,2009-06-21,18:30,Corinthians,Sao Paulo,Corinthians, Pacaembu,3,1,SP,SP,15371,Marcelo de Lima Henrique,0,0,Domingo
2774,7,2009-06-21,18:30,Santos,Atletico-MG,Atletico-MG, Vila Belmiro,2,3,SP,MG,7214,Djalma José Beltrami,1,0,Domingo
2775,7,2009-06-21,18:30,Cruzeiro,Barueri,Barueri, Mineirão,2,4,MG,SP,6117,Leonardo Gaciba,1,0,Domingo
2776,7,2009-06-21,18:30,Flamengo,Internacional,Flamengo, Maracanã,4,0,RJ,RS,15864,José Henrique de Carvalho,0,0,Domingo
2777,8,2009-06-27,16:10,Athletico-PR,Corinthians,Athletico-PR, Arena da Baixada,1,0,PR,SP,17119,Cláudio Mercante,0,0,Sábado
2778,8,2009-06-27,16:10,Barueri,Atletico-MG,Barueri,Arena Barueri,4,2,SP,MG,3813,Péricles Pegado Cortez,0,0,Sábado
2779,8,2009-06-27,16:10,Sao Paulo,Nautico,Sao Paulo, Morumbi,2,0,SP,PE,7977,André Luiz de Castro,0,0,Sábado
2780,8,2009-06-27,18:30,Cruzeiro,Avai,Cruzeiro, Mineirão,1,0,MG,SC,3437,Jailson Macedo Freitas,0,0,Sábado
2781,8,2009-06-27,18:30,Botafogo-RJ,Goias,Goias,Engenhão,1,4,RJ,GO,6689,Paulo César Oliveira,0,0,Sábado
2782,8,2009-06-28,18:30,Palmeiras,Santos,Empate,Palestra Itália,1,1,SP,SP,8277,Leonardo Gaciba,0,0,Domingo
2783,8,2009-06-28,18:30,Internacional,Coritiba,Internacional, Beira Rio,3,0,RS,PR,8592,Wilton Pereira Sampaio,0,0,Domingo
2784,8,2009-06-28,18:30,Vitoria,Santo Andre,Vitoria, Barradão,4,1,BA,SP,8741,Carlos Eugenio Simon,0,0,Domingo
2785,8,2009-06-28,18:30,Sport,Gremio,Sport,Ilha do Retiro,3,1,PE,RS,4004,Marcelo de Lima Henrique,0,0,Domingo
2786,8,2009-06-28,18:30,Fluminense,Flamengo,Empate, Maracanã,0,0,RJ,RJ,41038,Sálvio Spínola Fagundes Filho,0,0,Domingo
2787,9,2009-07-04,18:30,Santos,Sport,Santos, Vila Belmiro,1,0,SP,PE,7826,Alicio Pena Júnior,0,1,Sábado
2788,9,2009-07-04,18:30,Santo Andre,Barueri,Empate,Bruno José Daniel,1,1,SP,SP,1524,Paulo César Oliveira,0,0,Sábado
2789,9,2009-07-04,18:30,Flamengo,Vitoria,Flamengo,Engenhão,2,1,RJ,BA,25665,Nielson Nogueira Dias,1,1,Sábado
2790,9,2009-07-05,16:00,Coritiba,Sao Paulo,Coritiba, Couto Pereira,2,0,PR,SP,15371,Leandro Vuaden,0,1,Domingo
2791,9,2009-07-05,16:00,Goias,Cruzeiro,Goias, Serra Dourada,1,0,GO,MG,5809,Wilson Souza de Mendonça,0,0,Domingo
2792,9,2009-07-05,16:00,Atletico-MG,Botafogo-RJ,Empate, Mineirão,1,1,MG,RJ,48652,Sálvio Spínola Fagundes Filho,0,0,Domingo
2793,9,2009-07-05,16:00,Gremio,Athletico-PR,Gremio, Olímpico,4,1,RS,PR,11454,Rodrigo Nunes de Sá,0,0,Domingo
2794,9,2009-07-05,18:30,Avai,Palmeiras,Palmeiras,  Ressacada,0,3,SC,SP,12091,Evandro Rogério Roman,0,0,Domingo
